what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1698497567006
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698497567149
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1698497567553
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1698497569876
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1698497569882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497572181
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1698497575178
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1698497581931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497589869
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698497592695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497592987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497597489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497601733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497610984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1698497612115
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1698497612491
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698497613716
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1698497617386
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698497620236
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698497620571
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1698497622155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698497646543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497665751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497684071
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1698497698378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497706848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497714021
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698497723470
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698497726776
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698497726777
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1698497726788
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698497728739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497729036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698497731521
