what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501498431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501503821
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1698501503839
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698501508573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501534717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501551298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501566231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501627524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698501781891
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698501784761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501785061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501787741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501795531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501801431
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698501803813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501804102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501806872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501813896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501816346
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698501816886
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698501817106
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698501822865
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698501829935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698501877128
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698501879436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501879736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501882486
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698501885536
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698501885546
closed,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698501885556
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1698501886876
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698501893306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501893582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501896362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501900852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501906144
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1698501906154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501906464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501907104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501907674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501909536
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698501914136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501914416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501916676
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698501931551
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1698501932984
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1698501933334
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698501937234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501937514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698501939664
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1698501942377
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698501951567
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1698501959420
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698501962633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698501989820
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1698501991600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1698501995893
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698502009988
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698502013718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502013998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502016279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502026602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502028162
error,log,,,"The Nios II ELF executable does not exist. Please verify that the project Clock built successfully.",1698502028172
